sample_id,time_point,X_scaled,y_scaled
0,0,0.0,1.009580681987948
0,1,-6.106226635438361e-16,0.7539013035124146
0,2,-1.2212453270876722e-15,1.1331517022339586
0,3,1.5182299861749016e-14,1.4313490826146698
0,4,-2.4424906541753444e-15,0.8696340318617513
0,5,-1.8263168755083825e-14,1.2927945091734812
0,6,3.036459972349803e-14,1.0414583605877878
0,7,-3.574918139293004e-14,0.4714938837746661
0,8,-4.884981308350689e-15,0.7065303143591901
0,9,3.2585045772748344e-14,0.8437197790743647
0,10,-3.652633751016765e-14,-0.8857396106095322
0,11,-5.517808432387028e-14,-2.270678553048303
0,12,6.072919944699606e-14,0.3124798028634302
0,13,-3.985700658404312e-14,-1.5601789098452015
0,14,-7.149836278586008e-14,-0.5804985862393506
0,15,3.108624468950438e-14,-1.315796710535625
0,16,-9.769962616701378e-15,-1.6427976312759538
0,17,-4.463096558993129e-14,-0.8242637733602656
0,18,6.517009154549669e-14,-0.859636661561596
0,19,0.0,-1.4195158076122794
1,0,0.0,0.5056093042288698
1,1,-6.106226635438361e-16,0.4027219587276557
1,2,-1.2212453270876722e-15,-0.15685785795016718
1,3,1.5182299861749016e-14,0.4240882198465095
1,4,-2.4424906541753444e-15,1.2158225976860944
1,5,-1.8263168755083825e-14,1.1147967250105275
1,6,3.036459972349803e-14,-0.4158692810620181
1,7,-3.574918139293004e-14,0.6954046913625499
1,8,-4.884981308350689e-15,0.7915888183921533
1,9,3.2585045772748344e-14,-0.4556734082402991
1,10,-3.652633751016765e-14,1.6971976792426167
1,11,-5.517808432387028e-14,1.3968515979748792
1,12,6.072919944699606e-14,1.4982510239605686
1,13,-3.985700658404312e-14,1.62822717545781
1,14,-7.149836278586008e-14,1.0426822530826143
1,15,3.108624468950438e-14,0.7644188189500952
1,16,-9.769962616701378e-15,1.5741076767895967
1,17,-4.463096558993129e-14,0.8347271247965752
1,18,6.517009154549669e-14,-0.15493746202674794
1,19,0.0,-0.01196200774193726
2,0,0.0,0.2572652153811758
2,1,-6.106226635438361e-16,0.6018789310342797
2,2,-1.2212453270876722e-15,0.08777452387967768
2,3,1.5182299861749016e-14,1.0612883694121924
2,4,-2.4424906541753444e-15,-0.1916518948007588
2,5,-1.8263168755083825e-14,-0.026843038642003738
2,6,3.036459972349803e-14,-0.8501637056203827
2,7,-3.574918139293004e-14,0.12029712600830067
2,8,-4.884981308350689e-15,-0.7263739081445162
2,9,3.2585045772748344e-14,-1.131475567360809
2,10,-3.652633751016765e-14,-1.2347804749750146
2,11,-5.517808432387028e-14,0.03081611384393221
2,12,6.072919944699606e-14,-0.16558161486965162
2,13,-3.985700658404312e-14,-0.9262929286885314
2,14,-7.149836278586008e-14,-1.6099743000614155
2,15,3.108624468950438e-14,-0.27434811255222424
2,16,-9.769962616701378e-15,0.3095872741297262
2,17,-4.463096558993129e-14,-0.12471119073903052
2,18,6.517009154549669e-14,0.12237008059119218
2,19,0.0,-0.13272432845617121
3,0,0.0,1.1891475512768153
3,1,-6.106226635438361e-16,1.9339049685838487
3,2,-1.2212453270876722e-15,0.46367884164525774
3,3,1.5182299861749016e-14,1.046142193535848
3,4,-2.4424906541753444e-15,0.6604740505263513
3,5,-1.8263168755083825e-14,0.7198245681588041
3,6,3.036459972349803e-14,2.0464598507784038
3,7,-3.574918139293004e-14,0.3665261085798954
3,8,-4.884981308350689e-15,1.0295915523551
3,9,3.2585045772748344e-14,-0.039477710601110876
3,10,-3.652633751016765e-14,1.178720680655478
3,11,-5.517808432387028e-14,1.008238295314531
3,12,6.072919944699606e-14,0.3189282294348942
3,13,-3.985700658404312e-14,-0.10779580574281429
3,14,-7.149836278586008e-14,1.4813602814890956
3,15,3.108624468950438e-14,1.439064541794781
3,16,-9.769962616701378e-15,1.1328451347887294
3,17,-4.463096558993129e-14,-0.3262282493439895
3,18,6.517009154549669e-14,0.5740384295482464
3,19,0.0,0.9961543136483186
4,0,0.0,-0.7585254424518723
4,1,-6.106226635438361e-16,0.05479912965266824
4,2,-1.2212453270876722e-15,-0.8601534709930673
4,3,1.5182299861749016e-14,0.6257435861459562
4,4,-2.4424906541753444e-15,-1.9684203003193503
4,5,-1.8263168755083825e-14,-0.45394860007637416
4,6,3.036459972349803e-14,-1.4838296055915317
4,7,-3.574918139293004e-14,-1.4234304184485256
4,8,-4.884981308350689e-15,-1.8133514512505946
4,9,3.2585045772748344e-14,-0.3422033318676307
4,10,-3.652633751016765e-14,-0.14941696197386653
4,11,-5.517808432387028e-14,0.45336051731041893
4,12,6.072919944699606e-14,0.05132979717550904
4,13,-3.985700658404312e-14,1.0815928917811493
4,14,-7.149836278586008e-14,1.1046838678243238
4,15,3.108624468950438e-14,0.5893323799383088
4,16,-9.769962616701378e-15,0.969558569154286
4,17,-4.463096558993129e-14,0.5112160890288165
4,18,6.517009154549669e-14,0.8529321382133639
4,19,0.0,0.4726159179169365
5,0,0.0,-0.00932474605964716
5,1,-6.106226635438361e-16,0.4340153242036238
5,2,-1.2212453270876722e-15,0.15979187732067168
