sample_id,time_point,time_value,signal1,signal2,mixed_signal,noise,noisy_signal
0,0,0.0,0.4863874625378645,0.4863874625378645,0.4863874625378645,0.03483276934142812,0.5212202318792927
0,1,0.05263157894736842,0.4821096655600808,0.48092717723477657,0.4815184213974287,-0.00997472306150292,0.47154369833592574
0,2,0.10526315789473684,0.4779868648325132,0.47573860690382336,0.4768627358681683,-0.00458968168013923,0.47227305418802906
0,3,0.15789473684210525,0.4740547790084551,0.4708956688806952,0.47247522394457514,0.05004908924194146,0.5225243131865166
0,4,0.21052631578947367,0.47034747444705177,0.46646735655909155,0.46840741550307163,-0.03100169101084011,0.43740572449223153
0,5,0.2631578947368421,0.4668970700730419,0.46251675649803314,0.4647069132855375,-0.013937004727804776,0.4507699085577327
0,6,0.3157894736842105,0.4637334591084609,0.45910014967903595,0.46141680439374844,-0.03922249526709319,0.42219430912665523
0,7,0.3684210526315789,0.46088405008713473,0.4562662097168054,0.4585751299019701,-0.02809678551035515,0.4304783443916149
0,8,0.42105263157894735,0.4583735293957332,0.4540553094458898,0.45621441942081153,-0.04067530741968014,0.4155391120011314
0,9,0.47368421052631576,0.45622364739865373,0.45249894576178795,0.45436129658022084,-0.038541568535538306,0.41581972804468254
0,10,0.5263157894736842,0.45445302999968096,0.45161929091033176,0.4530361604550064,0.050056556470129576,0.503092716925136
0,11,0.5789473684210527,0.45307701727299454,0.4514288766177577,0.4522529469453761,0.029506983887248435,0.48175993083262453
0,12,0.631578947368421,0.45210753056157466,0.45193041556140984,0.45201897306149225,-0.02534929081715817,0.4266696822443341
0,13,0.6842105263157894,0.45155296919442256,0.4531167627244347,0.4523348659594286,-0.03792308589921724,0.4144117800602114
0,14,0.7368421052631579,0.45141813771740696,0.4549710171850174,0.45319457745121217,-0.07231939359404146,0.3808751838571707
0,15,0.7894736842105263,0.45170420426818453,0.45746676289004995,0.4545854835791172,0.047323316423061854,0.5019088000021791
0,16,0.8421052631578947,0.45240869045582116,0.460568444983125,0.4564885677194731,-0.1647925534289378,0.29169601429053527
0,17,0.894736842105263,0.4535254928327944,0.46423187632561785,0.4588786845792061,0.09004492859438262,0.5489236131735887
0,18,0.9473684210526315,0.45504493577334987,0.46840486699486233,0.4617249013841061,-0.06198218392359589,0.3997427174605102
0,19,1.0,0.45695385530008986,0.473027967791473,0.4649909115457814,0.029943171136412778,0.4949340826821942
1,0,0.0,0.528200909560754,0.528200909560754,0.528200909560754,-0.006111405928236679,0.5220895036325174
1,1,0.05263157894736842,0.5217584558649138,0.520829766799009,0.5212941113319614,0.0031431139470210986,0.5244372252789824
1,2,0.10526315789473684,0.5144711133767392,0.5124206971228704,0.5134459052498048,0.07552786084674518,0.5889737660965499
1,3,0.15789473684210525,0.5066218522680287,0.5033927162527778,0.5050072842604032,0.03351056387872819,0.5385178481391314
1,4,0.21052631578947367,0.49851546221595555,0.4941956796488579,0.49635557093240673,-0.00829377903432578,0.48806179189808097
1,5,0.2631578947368421,0.49046671730852504,0.48528786665316864,0.48787729198084684,0.011949913319149158,0.499827205299996
1,6,0.3157894736842105,0.48278815325171137,0.477113144878143,0.4799506490649272,-0.05343394354154615,0.42651670552338106
1,7,0.3684210526315789,0.47577793149378533,0.4700788527174293,0.47292839210560733,0.05306093068463638,0.5259893227902437
1,8,0.42105263157894735,0.46970826150732264,0.4645355020719893,0.46712188178965597,0.06429318535775166,0.5314150671474076
1,9,0.47368421052631576,0.4648148307959112,0.460759312684768,0.4627870717403396,0.09616457607312695,0.5589516478134666
1,10,0.5263157894736842,0.4612876530622606,0.4589384483809614,0.460113050721611,-0.06366650228731706,0.39644654843429394
1,11,0.5789473684210527,0.45926368990669003,0.45916364104857454,0.4592136654776323,-0.038991370937896945,0.42022229453973536
1,12,0.631578947368421,0.45882153255813846,0.46142366955715053,0.46012260105764446,0.09216757568635402,0.5522901767439985
1,13,0.6842105263157894,0.4599783501480258,0.46560591889573016,0.46279213452187795,-0.07000425193914835,0.3927878825827296
1,14,0.7368421052631579,0.46268922302660587,0.4715019916687448,0.4670956073476753,0.021707461111884273,0.48880306845955956
1,15,0.7894736842105263,0.46684888700938065,0.4788180923344878,0.4728334896719342,-0.030471429711332,0.44236205996060224
1,16,0.8421052631578947,0.4722958208238508,0.4871896667497152,0.479742743786783,0.020212271522078024,0.499955015308861
1,17,0.894736842105263,0.47881851803955067,0.49619956754617955,0.4875090427928651,-0.08398679373790026,0.40352224905496487
1,18,0.9473684210526315,0.48616369994003333,0.5053988401761462,0.4957812700580898,-0.03084977957821391,0.4649314904798759
1,19,1.0,0.49404615042798444,0.5143290938785656,0.5041876221532751,-0.02192496367172604,0.48226265848154903
2,0,0.0,0.43804788990030863,0.43804788990030863,0.43804788990030863,0.01474326681882756,0.45279115671913617
2,1,0.05263157894736842,0.4424224552434697,0.4430904550888341,0.4427564551661519,-0.03016115191663822,0.4125953032495137
2,2,0.10526315789473684,0.45059606554358655,0.45268902051818244,0.45164254303088447,-0.040914060812364504,0.41072848221852
2,3,0.15789473684210525,0.4620294148416769,0.46607515504950114,0.46405228494558903,-0.03661259804958911,0.4274396868959999
2,4,0.21052631578947367,0.4759681151523602,0.4821772066032739,0.4790726608778171,0.014388319728934264,0.49346098060675136
2,5,0.2631578947368421,0.4914924720123568,0.49970609527434173,0.49559928364334926,-0.06261417124797018,0.43298511239537907
2,6,0.3157894736842105,0.507578167175928,0.5172585130388677,0.5124183401073978,0.027196153815327074,0.5396144939227249
